"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Tempo","6120000","6120000","6120000","6120000","6120000","6120000","7480000","7480000","7480000","7480000","9140000","7480000"
"MegaETH","201000","201000","246000","246000","246000","246000","301000","550000","301000","550000","450000","368000"
"Kite AI","2400","2400","2400","3600","3600","2900","2900","3600","22200","14800","9900","9900"
