"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Brave","530156597.5","4.56%"
"OpenAI","918145751.3","-15.67%"
"Perplexity","200451700.2","-13.21%"
"Character.ai","129576876.2","-2.04%"
"Suno","57178411.83","18.64%"
"xAI","27172641.17","19.66%"
"ElevenLabs","45090547","-1.32%"
"QuillBot","54578551.33","-10.52%"
"Paradox","19336269.83","10.30%"
"Lovable","22412828.67","2.25%"
