"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Newsela","60500","49500","74000","60500","135000","201000","201000","74000","301000","550000","450000","368000"
"Amira Learning","5400","3600","2900","3600","3600","5400","6600","5400","5400","5400","18100","33100"
"SchoolAI","49500","49500","90500","165000","165000","74000","60500","165000","246000","246000","201000","135000"
