"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"ShopMy","33100","40500","40500","60500","49500","49500","49500","49500","90500","90500","74000","90500"
"Agentio","2400","2400","2900","2900","2900","2900","3600","4400","4400","5400","8100","5400"
"Mutiny","90500","110000","110000","110000","135000","110000","110000","110000","110000","135000","135000","135000"
