"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"AppsFlyer","164714785.2","3.07%"
"Outlier","8466950","60.91%"
"Eightfold AI","7921303","1.03%"
"Motive","1370798.67","2.23%"
"Mapbox","2177546.33","-17.23%"
"Looker","2283640.83","-24.79%"
"doola","320525.17","51.13%"
"CallRail","862434.83","-19.85%"
"Sigma Computing","547336.5","-14.22%"
"Hex Technologies","260798","-11.40%"
