"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Erebor","350000000","3.50E+08","41"
"Flex","408000000","6.00E+07","59"
"Upgrade","752000000","1.65E+08","108"
"Plaid","1309300000","5.75E+08","304"
"Quavo Fraud & Disputes","311000000","3.00E+08","194"
"Mercury","452214480","","312"
"Lead","170000000","7.00E+07","150"
"Brex","1699120000","2.35E+08","384"
"TidalWave","22000000","2.20E+07","79"
"OnePay","366000000","3.00E+08","416"
