"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"OpenAI","79000120000","1.00E+09","52"
"Deepgram","229088046","1.43E+08","19"
"Serval","122000000","7.50E+07","52"
"Perplexity","1475000000","","144"
"Inception","57000000","5.00E+07","87"
"Superb AI","47406066","9.53E+06","48"
"Sensi AI","93650000","4.50E+07","115"
"HappyRobot","60723063","4.40E+07","151"
"Writer","326000000","2.00E+08","446"
"Cresta","276000000","1.25E+08","439"
