"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Prime Intellect","4400","5400","4400","6600","5400","9900","14800","22200","14800","18100","22200","27100"
"Replit","1000000","1000000","1220000","1500000","1500000","1220000","1500000","1500000","1220000","1220000","1000000","1220000"
"Conga","165000","165000","165000","165000","201000","165000","201000","165000","165000","201000","201000","201000"
