"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"OnePay","6901908","46.60%"
"Plaid","15011970.67","-11.06%"
"Upgrade","5613426","-5.05%"
"Mercury","2752637","-15.12%"
"Bluevine","1675403.17","-15.14%"
"Greenlight","880986","-3.60%"
"Papaya","266177.5","41.31%"
"Earnest","714518.67","-1.12%"
"Branch","518161","-19.23%"
"Branch","518161","-19.23%"
