"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"LeoLabs","151333.17","611.47%"
"Reflect Orbital","179121","269.07%"
"Anduril Industries","431470.67","-5.84%"
"SpaceX","1896981.5","-43.66%"
"Starcloud","20867.33","221.25%"
"Air Space Intelligence","6598","54.38%"
"Stoke Space","34249.17","-5.27%"
"Ursa Major","13196.5","26.36%"
"Astranis","13916.5","19.23%"
"Boom Supersonic","78680","-39.52%"
