Organization Name,Total Funding Amount (in USD),Last Funding Amount (in USD),Days Since Last Funding
Databricks,27614821657,1.80E+09,100
Rogo,154000000,7.50E+07,4
ClickHouse,1150000000,4.00E+08,16
Zanskar,157230000,1.15E+08,11
Compa,48900000,3.50E+07,6
Tulip Interfaces,272500000,1.20E+08,19
Kalshi,1645094988,1.00E+09,73
Polymarket,2279000000,,117
Tradespace,19700000,1.50E+07,6
Listen Labs,96000000,6.90E+07,18
