"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Employee Navigator","1308241.33","106.26%"
"Jerry","613469.67","153.67%"
"Kin Insurance","499627","26.17%"
"TheGuarantors","266693.83","-8.97%"
"GoodData","104796.33","11.82%"
"INSHUR","190817","-16.16%"
"Faye","288946.5","-28.43%"
"Canopy Connect","85661.5","3.66%"
"Policygenius","362145.17","-41.26%"
"Steadily","203013.5","-31.19%"
