"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"HackerOne","1693991.5","17.44%"
"Aura","2769371.17","-13.64%"
"Clerk","891102.33","16.26%"
"Twingate","613704","-13.05%"
"LogRocket","630049.17","-14.43%"
"Zimperium","83399.5","45.55%"
"Menlo Security","180801.83","1.26%"
"Abnormal AI","273509.67","-12.37%"
"Lookout","132728.33","11.78%"
"Kentik","62263.67","41.36%"
