"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"xAI","42731221423","2.00E+10","26"
"Databricks","27614821657","1.80E+09","9"
"Decagon","481000000","2.50E+08","4"
"humans&","480000000","4.80E+08","12"
"Baseten","585000000","3.00E+08","12"
"Anthropic","33740377627","1.30E+10","152"
"Outtake","56500000","4.00E+07","4"
"OpenAI","79000120000","1.00E+09","52"
"Scale","15902620000","1.43E+10","236"
"Anysphere","3373400000","","80"
