"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Solv","2794506.83","-5.17%"
"Boulevard","1345533","-10.27%"
"When I Work","1572199","-12.81%"
"Remote","1503288.67","-10.40%"
"point.me","934105.67","-16.35%"
"Techstars","154306.67","19.50%"
"Andela","84469","27.13%"
"Tomorrow.io","241475.83","-10.11%"
"ConsenSys","107672.83","4.27%"
"Ryan","92177.67","-10.22%"
