"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Motive","550000","550000","550000","550000","550000","550000","450000","450000","550000","550000","550000","550000"
"Shippo","165000","135000","165000","165000","165000","165000","165000","165000","165000","165000","165000","201000"
"Transfix","90500","90500","110000","90500","90500","110000","110000","90500","110000","110000","110000","110000"
