"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Relativity","845000000","7.20E+08","16"
"Checkbox","29201804","2.30E+07","4"
"Ivo","77200000","5.50E+07","12"
"Harvey","1025000000","1.60E+08","94"
"Filevine","636079977","2.60E+08","131"
"EvenUp","370500000","1.50E+08","117"
"Parambil","8000000","6.00E+06","19"
"Norm AI","136100000","5.00E+07","79"
"General Counsel AI","71646596","6.00E+07","81"
"Eve","164000000","1.03E+08","124"
