"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Anaconda","1830000","1500000","1830000","1830000","2240000","1830000","1830000","1830000","1830000","1830000","1830000","4090000"
"Compa","2740000","2740000","2740000","3350000","2740000","3350000","2740000","3350000","4090000","3350000","3350000","3350000"
"Greptile","4400","4400","4400","4400","5400","5400","9900","12100","27100","12100","12100","22200"
