"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Signifyd","1861542.33","1331.29%"
"Stack Overflow","75823911.67","-15.55%"
"Calendly","51250950.83","-12.39%"
"Miro","33143723.5","-16.92%"
"Greenhouse Software","33084051.33","-20.29%"
"SmartRecruiters","18012472.83","-9.11%"
"Employee Navigator","1308241.33","106.26%"
"Lever","16104195","-12.67%"
"Zenoti","5749532","2.10%"
"Gusto","7977119.5","-12.20%"
