"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Zipline","1921000000","6.00E+08","11"
"OpenEvidence","767000000","2.50E+08","11"
"OpenAI","79000120000","1.00E+09","52"
"Checkbox","29201804","2.30E+07","4"
"Compa","48900000","3.50E+07","6"
"DealHub.io","184500000","1.00E+08","12"
"Datarails","173500000","7.00E+07","11"
"Harness","775000000","2.00E+08","52"
"Eon","497000000","3.00E+08","61"
"Genesys","2979999390","1.50E+09","185"
