"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Anaconda","1830000","1500000","1830000","1830000","2240000","1830000","1830000","1830000","1830000","1830000","1830000","4090000"
"Vercel","673000","823000","823000","823000","1000000","1000000","1000000","1220000","1220000","1220000","1220000","1220000"
"Runpod","49500","49500","60500","60500","74000","74000","90500","90500","90500","110000","110000","135000"
