"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Pomelo Care","178959986","9.20E+07","24"
"Gopuff","3699710000","2.50E+08","80"
"XBuild","19000000","1.90E+07","12"
"Cosmos","21000000","1.50E+07","12"
"BoldVoice","27104976","2.10E+07","46"
"CoreStory","114066243","3.20E+07","96"
"OnePay","366000000","3.00E+08","416"
"Chai","55000000","4.70E+07","214"
"Sweatpals","15950000","1.20E+07","96"
"SimplyWise","21100003","1.20E+07","101"
