"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Retell AI","22200","27100","49500","33100","40500","40500","49500","49500","49500","60500","60500","60500"
"Lumilens","880","1000","1000","1000","1300","1300","1600","1900","1900","2400","2900","2400"
"VoltaGrid","5400","6600","8100","8100","8100","8100","6600","8100","8100","9900","14800","12100"
