"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Adopt AI","880","1000","880","880","1000","4400","1900","2400","1900","2900","5400","22200"
"Dialogue AI","1600","2900","4400","4400","5400","4400","8100","6600","8100","12100","18100","22200"
"OpenAI","7480000","7480000","7480000","9140000","11100000","11100000","9140000","11100000","9140000","9140000","9140000","9140000"
