"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Dialpad","3691375","-2.96%"
"Retell AI","495456.33","11.42%"
"Bland AI","154002.83","-4.52%"
"Flashpoint","116853.67","1.28%"
"Lightyear","23034","29.18%"
"Monogoto","16159.67","27.21%"
"Astranis","13916.5","19.23%"
"Movius","6706.17","-0.33%"
"Skylo","13859.5","-25.81%"
"Cresta","33237","-51.12%"
