"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Calendly","51250950.83","-12.39%"
"ClickUp","41453814","-14.18%"
"Scribe","137729.83","458.37%"
"Formstack","8510445.17","-19.78%"
"Recraft","3680083.33","-10.18%"
"Retool","1899963.17","-5.83%"
"When I Work","1572199","-12.81%"
"Motion","1423199","-23.17%"
"Writer","639189","1.58%"
"MasterControl","466958.67","10.29%"
