"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Ring","29083855.17","3.79%"
"WHOOP","4208059.67","3.21%"
"SimpliSafe","1889529.83","7.80%"
"Framework","1585335.83","12.78%"
"LARQ","445248.33","65.34%"
"Eight Sleep","1393269.83","13.71%"
"Willow","202854.67","76.15%"
"Sesame","1521697.17","-18.75%"
"Sesame","1521697.17","-18.75%"
"Formlabs","637830.17","2.59%"
