"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"OpenAI","7480000","7480000","7480000","9140000","11100000","11100000","9140000","11100000","9140000","9140000","9140000","9140000"
"Prime Intellect","4400","5400","4400","6600","5400","9900","14800","22200","14800","18100","22200","27100"
"Maisa","201000","246000","301000","246000","201000","246000","246000","201000","201000","246000","201000","368000"
