"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Ridley","165000","135000","135000","110000","135000","110000","135000","135000","201000","550000","201000","135000"
"Syllo","90500","74000","90500","90500","90500","90500","90500","74000","90500","90500","110000","246000"
"Finch Legal","590","590","720","720","1300","1000","1000","1300","1300","1600","2900","3600"
