"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"StockX","23541508.67","8.71%"
"Manychat","8529808.33","-2.99%"
"Apollo.io","9356308.83","-9.54%"
"Intercom","5640817.5","-18.13%"
"PandaDoc","5268203.33","-18.18%"
"SpotOn","2857964.33","-2.39%"
"Pipefy","1609247.33","-14.80%"
"Gong","1575964.5","-30.50%"
"Clay","922255.83","-14.60%"
"Creatio","1020803.17","-16.46%"
