"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Mytra","11100000","9140000","11100000","9140000","9140000","11100000","11100000","11100000","13600000","11100000","11100000","11100000"
"BNTO","1300","1000","1000","1300","2900","3600","4400","5400","6600","6600","8100","8100"
"Regrello","1300","1900","2400","1900","1600","1600","1600","1600","9900","3600","5400","2900"
