"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Enfabrica","3600","2400","2900","2900","3600","2900","2900","2400","3600","2900","33100","4400"
"Runpod","49500","49500","60500","60500","74000","74000","90500","90500","90500","110000","110000","135000"
"Groq","201000","246000","246000","201000","165000","201000","246000","201000","201000","201000","201000","550000"
