"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Character.ai","129576876.2","-2.04%"
"Plex","56411870.17","-8.11%"
"Tinder","46206124.17","-8.44%"
"Gopuff","4087994","85.66%"
"OnePay","6901908","46.60%"
"Waze","16061397.5","-8.21%"
"Hiya","2996858.33","29.38%"
"Zocdoc","7764133.67","-11.90%"
"Zumper","2075234","25.59%"
"Anything","423512.17","70.59%"
