"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Anaconda","1830000","1500000","1830000","1830000","2240000","1830000","1830000","1830000","1830000","1830000","1830000","4090000"
"Atlas AI","27100","22200","27100","27100","33100","27100","33100","33100","49500","110000","90500","49500"
"EDO","201000","201000","201000","201000","246000","246000","246000","246000","246000","301000","301000","301000"
