"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Cluely","110","110","140","110000","135000","246000","301000","368000","301000","246000","201000","110000"
"Syllo","90500","74000","90500","90500","90500","90500","90500","74000","90500","90500","110000","246000"
"Chalk","165000","201000","201000","201000","201000","246000","201000","201000","201000","246000","246000","246000"
