"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Abnormal AI","140","210","170","320","4400","8100","9900","12100","12100","14800","14800","12100"
"Comp AI","390","590","720","1000","1300","1000","1000","1300","1900","1900","4400","4400"
"Huntress","49500","49500","49500","49500","49500","60500","74000","74000","74000","90500","74000","74000"
