"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Govini","2900","4400","4400","4400","5400","5400","5400","6600","5400","5400","22200","18100"
"Atlas AI","27100","22200","27100","27100","33100","27100","33100","33100","49500","110000","90500","49500"
"Suzy","201000","201000","165000","201000","201000","165000","165000","246000","201000","201000","673000","301000"
