"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Shippo","2018333.67","-3.63%"
"ShipBob","493374.83","21.50%"
"Flexport","1131656.83","-21.73%"
"The/Studio","113687.5","47.18%"
"Passport","570833","-22.53%"
"Passport","570833","-22.53%"
"Alvys","422760","-13.52%"
"Relay Payments","311702","-8.98%"
"Turvo","168415.33","-1.53%"
"Transfix","108577.67","0.45%"
