"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Lovable","201000","246000","550000","823000","823000","1000000","1500000","1500000","1500000","1500000","1500000","1500000"
"Supabase","301000","368000","450000","550000","673000","673000","673000","823000","823000","823000","823000","1000000"
"CodeRabbit","18100","22200","27100","40500","40500","74000","74000","90500","90500","90500","90500","74000"
