"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Ricursive Intelligence","335000000","3.00E+08","6"
"humans&","480000000","4.80E+08","12"
"Baseten","585000000","3.00E+08","12"
"Etched.ai","625360000","5.00E+08","18"
"Scale","15902620000","1.43E+10","236"
"Lambda","3187205501","1.50E+09","75"
"Crusoe","3897500000","","101"
"Cerebras Systems","1820200000","","124"
"Groq","1752550552","7.50E+08","137"
"Fal","337000000","1.40E+08","54"
