"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"DealHub.io","184500000","1.00E+08","12"
"Klearly","21675000","1.40E+07","19"
"Bolna","6425000","6.30E+06","12"
"1mind","40000000","3.00E+07","83"
"PandaDoc","56929633","5.87E+06","47"
"Clay","202000000","1.00E+08","233"
"Manychat","163125000","1.40E+08","285"
"Aurasell","30000000","3.00E+07","159"
"Creatio","268000000","2.00E+08","585"
"Hyperbound","18300000","1.50E+07","139"
