"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Foundation","823000","823000","1000000","823000","823000","823000","1000000","1500000","1500000","1500000","1000000","1000000"
"Figure","450000","450000","450000","450000","450000","450000","368000","450000","450000","673000","550000","550000"
"Carbon","450000","450000","450000","450000","550000","450000","368000","450000","550000","550000","550000","550000"
