"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"OpenAI","7480000","7480000","7480000","9140000","11100000","11100000","9140000","11100000","9140000","9140000","9140000","9140000"
"iMerit","5400","5400","4400","4400","5400","6600","8100","8100","8100","9900","14800","22200"
"Inception","1830000","1830000","1830000","1500000","1500000","1500000","1830000","1830000","1500000","1500000","1500000","1500000"
