"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"LeoLabs","8100","8100","6600","8100","9900","8100","8100","8100","8100","12100","22200","165000"
"Starcloud","1600","1900","2900","3600","4400","4400","5400","6600","5400","6600","18100","27100"
"Apex","1000000","1000000","1000000","1220000","1000000","1220000","1000000","1000000","1000000","1220000","1000000","1220000"
