"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Superstate","100500000","8.25E+07","10"
"Rain","332500000","2.50E+08","23"
"Erebor","350000000","3.50E+08","41"
"Kraken","1430550000","8.00E+08","75"
"Ripple","793800000","5.00E+08","88"
"Foundation","23545000","1.34E+07","12"
"Tempo","500000000","5.00E+08","107"
"Digital Asset","492200000","5.00E+07","59"
"Architect","52000000","3.50E+07","40"
"Babylon Labs","15000000","1.50E+07","25"
