"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Dusty Robotics","2900","3600","3600","3600","4400","5400","4400","4400","5400","18100","9900","9900"
"Point","1000000","1000000","1000000","1000000","1000000","1000000","823000","1000000","1000000","1000000","1000000","1000000"
"Veev","135000","165000","135000","165000","165000","201000","201000","201000","201000","201000","201000","201000"
