"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Paradox","19336269.83","10.30%"
"SmartRecruiters","18012472.83","-9.11%"
"Employee Navigator","1308241.33","106.26%"
"Lever","16104195","-12.67%"
"Eightfold AI","7921303","1.03%"
"Checkr","3084994.17","29.02%"
"Gusto","7977119.5","-12.20%"
"Handshake","11761297.33","-26.32%"
"PeopleGrove","151123","161.47%"
"Solv","2794506.83","-5.17%"
