"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Sesame","823000","823000","823000","1000000","823000","1000000","823000","823000","1000000","1000000","1000000","1000000"
"Sesame","823000","823000","823000","1000000","823000","1000000","823000","823000","1000000","1000000","1000000","1000000"
"Particle","246000","246000","201000","201000","201000","201000","201000","246000","246000","301000","246000","246000"
