"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"NPR","63926200.17","-3.84%"
"Plex","56411870.17","-8.11%"
"Cloudinary","12100931.33","-15.08%"
"Philo","4692635.33","-0.41%"
"Nas.io","1342771.33","-0.29%"
"The Block","757468.17","-5.55%"
"Meow Wolf","668805.5","-6.15%"
"Air","439355.33","-17.49%"
"Catch+Release","62710.67","59.73%"
"Samba TV","38355.67","51.21%"
