"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Achieve","1780900000","2.71E+08","47"
"PayJoy","585650000","1.40E+08","61"
"Octane","4308694404","5.00E+07","48"
"SavvyMoney","272000000","2.25E+08","97"
"Flex","408000000","6.00E+07","59"
"Upgrade","752000000","1.65E+08","108"
"Esusu","195025000","5.00E+07","52"
"MagicCube","37200000","1.00E+07","21"
"Best Egg","1500000000","1.00E+09","410"
"Yendo","307500000","5.00E+07","115"
