"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Checkr","3084994.17","29.02%"
"Trellis Research","1644772.83","15.87%"
"Rocket Lawyer","1687863.67","-15.60%"
"Proof","490888.83","-10.47%"
"Filevine","594490.5","-23.37%"
"Harvey","268057.33","-6.80%"
"Ironclad","438828.67","-25.50%"
"Eve","34197.83","38.45%"
"Everlaw","105783.17","-17.70%"
"Relativity","83400.5","-25.73%"
