"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"demi","110000","135000","110000","135000","135000","135000","135000","135000","135000","135000","135000","135000"
"When I Work","135000","135000","135000","135000","165000","165000","165000","165000","165000","165000","135000","135000"
"Impact Analytics","6600","9900","9900","9900","8100","9900","12100","14800","12100","14800","12100","12100"
