"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Kalshi","110000","90500","74000","110000","110000","201000","165000","135000","301000","823000","673000","1830000"
"Aspora","480","590","590","880","5400","5400","12100","9900","12100","18100","18100","18100"
"Teamshares","1900","2400","1900","1600","1900","2400","2400","2900","14800","12100","12100","14800"
