"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Waymo","450000","368000","450000","550000","673000","1220000","550000","550000","550000","550000","550000","673000"
"Zoox","90500","74000","90500","74000","74000","90500","90500","90500","110000","110000","135000","135000"
"Avride","2900","4400","5400","6600","4400","4400","5400","6600","8100","9900","12100","9900"
