"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Abnormal AI","140","210","170","320","4400","8100","9900","12100","12100","14800","14800","12100"
"XBOW","18100","18100","18100","14800","18100","22200","27100","40500","49500","60500","49500","49500"
"Anomali","110000","110000","90500","135000","301000","673000","450000","368000","201000","165000","165000","135000"
