"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"QuillBot","54578551.33","-10.52%"
"Quizlet","62824396.17","-17.19%"
"Wayground","21477525.17","-4.15%"
"Khan Academy","28349854.83","-14.88%"
"Preply","17513425.67","-10.86%"
"ClassDojo","11200265","-14.28%"
"DataCamp","7699133.5","-3.36%"
"MasterClass","5079789.67","11.97%"
"Teachable","10813397.83","-15.66%"
"Platzi","2220845.5","46.23%"
