"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Wisdom AI","1600","2400","1900","2400","3600","5400","6600","14800","22200","14800","8100","5400"
"Databricks","450000","368000","368000","368000","368000","450000","368000","450000","450000","450000","450000","450000"
"Observe","550000","450000","450000","450000","450000","450000","450000","450000","368000","450000","550000","550000"
