"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Super.com","16104113.67","-2.97%"
"Away","2171829.33","12.11%"
"Peek","3074269.17","-7.19%"
"Goop","883444.83","34.37%"
"Atlys","1429417.17","7.15%"
"ResortPass","1368981.83","-6.01%"
"Mindtrip","1028560.83","-9.00%"
"Headout","1922988","-26.45%"
"point.me","934105.67","-16.35%"
"SpaceX","1896981.5","-43.66%"
