"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Reflect Orbital","179121","269.07%"
"Arcadia","182151.17","62.09%"
"GoodLeap","429452.5","-8.23%"
"Bidgely","286163.5","11.56%"
"DroneDeploy","255622.33","-25.15%"
"Voltus","27161","53.75%"
"Exowatt","17312.67","80.91%"
"Scanifly","27442.83","43.33%"
"Crusoe","72409","-22.39%"
"Patch","12876.33","15.27%"
