"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Emerald AI","590","720","720","880","880","1000","1600","6600","2400","4400","5400","4400"
"Exowatt","4400","2400","2400","1300","1900","2900","2400","3600","3600","3600","2900","14800"
"Aether","165000","165000","165000","165000","165000","201000","165000","165000","165000","165000","165000","201000"
