"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Tempo","6120000","6120000","6120000","6120000","6120000","6120000","7480000","7480000","7480000","7480000","9140000","7480000"
"Foundation","823000","823000","1000000","823000","823000","823000","1000000","1500000","1500000","1500000","1000000","1000000"
"The Block","135000","135000","110000","110000","110000","110000","110000","165000","201000","246000","301000","110000"
