"Organization Name","Jan 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","September 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026"
"Minted","246000","165000","165000","201000","165000","165000","165000","165000","165000","201000","673000","673000"
"Quince","1500000","1500000","1830000","1830000","1830000","1830000","1830000","2240000","2240000","2240000","2740000","2740000"
"BNTO","1300","1000","1000","1300","2900","3600","4400","5400","6600","6600","8100","8100"
