"Organization Name","Monthly Average Visits Over 6 Months","Monthly Visits Growth %"
"Shippo","2018333.67","-3.63%"
"Motive","1370798.67","2.23%"
"Mapbox","2177546.33","-17.23%"
"ShipBob","493374.83","21.50%"
"EasyPost","1833800.17","-30.40%"
"Flexport","1131656.83","-21.73%"
"Passport","570833","-22.53%"
"Passport","570833","-22.53%"
"Nash","112600","36.63%"
"Alvys","422760","-13.52%"
