"Organization Name","Total Funding Amount (in USD)","Last Funding Amount (in USD)","Days Since Last Funding"
"Span","393409972","1.63E+08","5"
"Zanskar","157230000","1.15E+08","11"
"GoodLeap","1751800000","5.23E+08","51"
"Crusoe","3897500000","","101"
"Cambium","127012877","1.00E+08","27"
"Emobi","4435000","3.40E+06","4"
"Infravision","114497949","9.10E+07","90"
"Gridware","97200000","5.50E+07","76"
"Exowatt","140000000","5.00E+07","80"
"ElectronX","61529982","3.65E+07","79"
